"ProductCode","ProductName","ProductVersion","OpSystemCode","MfgCode","Language","ApplicationType"
18473,"Intellimover Transfer Your PC Deluxe","2004","200","673","English","data transfer"
18473,"Intellimover Transfer Your PC Deluxe","2004","204","673","English","data transfer"
18473,"Intellimover Transfer Your PC Deluxe","2004","205","673","English","data transfer"
18473,"Intellimover Transfer Your PC Deluxe","2004","209","673","English","data transfer"
18473,"Intellimover Transfer Your PC Deluxe","2004","231","673","English","data transfer"
18474,"FL Studio 8","8","194","1125","English","Music"
18474,"FL Studio 8","8","209","1125","English","Music"
18474,"FL Studio 8","8","231","1125","English","Music"
18474,"FL Studio 8","8","237","1125","English","Music"
18475,"AutoSketch 9","c. 2004","186","96","English","Graphic/Drawing,computer aided design (cad)"
18475,"AutoSketch 9","c. 2004","252","96","English","Graphic/Drawing,computer aided design (cad)"
18475,"AutoSketch 9","c. 2004","254","96","English","Graphic/Drawing,computer aided design (cad)"
18476,"Game Safe Antivirus Defense","GS8-CD-EN-A","237","1198","English","Anti Virus"
18476,"Game Safe Antivirus Defense","GS8-CD-EN-A","240","1198","English","Anti Virus"
18476,"Game Safe Antivirus Defense","GS8-CD-EN-A","327","1198","English","Anti Virus"
18477,"Spector 360","c 1998-2006","190","903","English","employee monitoring,enterprise network analysis"
18477,"Spector 360","c 1998-2006","226","903","English","employee monitoring,enterprise network analysis"
18477,"Spector 360","c 1998-2006","254","903","English","employee monitoring,enterprise network analysis"
18478,"Logic Express 8","Version 8.0","76","67","English","Music"
18479,"SmartDraw 2008","2008","190","872","English","Graphic/Drawing"
18479,"SmartDraw 2008","2008","231","872","English","Graphic/Drawing"
18479,"SmartDraw 2008","2008","237","872","English","Graphic/Drawing"
18480,"Luxor 2","2","190","1123","English","Game,Videogame"
18480,"Luxor 2","2","205","1123","English","Game,Videogame"
18480,"Luxor 2","2","209","1123","English","Game,Videogame"
18480,"Luxor 2","2","231","1123","English","Game,Videogame"
18481,"Rosetta Stone Chinese/Mandarin Levels 1,2 & 3","Version 3","190","1109","English","Language tutorial"
18481,"Rosetta Stone Chinese/Mandarin Levels 1,2 & 3","Version 3","231","1109","English","Language tutorial"
18481,"Rosetta Stone Chinese/Mandarin Levels 1,2 & 3","Version 3","237","1109","English","Language tutorial"
18481,"Rosetta Stone Chinese/Mandarin Levels 1,2 & 3","Version 3","247","1109","English","Language tutorial"
18482,"Islamic Dictionary","2.0","190","405","Arabic,English","Dictionary"
18482,"Islamic Dictionary","2.0","204","405","Arabic,English","Dictionary"
18482,"Islamic Dictionary","2.0","209","405","Arabic,English","Dictionary"
18482,"Islamic Dictionary","2.0","231","405","Arabic,English","Dictionary"
18483,"ArabicXT 7","Portions c.1994","231","523","Arabic,English","Desktop publishing"
18483,"ArabicXT 7","Portions c.1994","247","523","Arabic,English","Desktop publishing"
18484,"PhotoFrame 3 Professional Edition for Adobe Photoshop","3","231","1121","English","Picture Editor/Viewer"
18484,"PhotoFrame 3 Professional Edition for Adobe Photoshop","3","237","1121","English","Picture Editor/Viewer"
18484,"PhotoFrame 3 Professional Edition for Adobe Photoshop","3","257","1121","English","Picture Editor/Viewer"
18485,"Super Elf Bowling Collection","2005","190","1123","English","Game,Videogame"
18485,"Super Elf Bowling Collection","2005","205","1123","English","Game,Videogame"
18485,"Super Elf Bowling Collection","2005","209","1123","English","Game,Videogame"
18485,"Super Elf Bowling Collection","2005","231","1123","English","Game,Videogame"
18486,"Microsoft Office Home and Student 2007","2007","226","609","Arabic","Office Suite"
18486,"Microsoft Office Home and Student 2007","2007","241","609","Arabic","Office Suite"
18487,"Microsoft Expression Web 2","X14-62280-02","237","609","English","Website Development"
18487,"Microsoft Expression Web 2","X14-62280-02","241","609","English","Website Development"
